,train15,train18,train21
数字,0.16,0.21,0.32
语音,0.00,0.86,0.88
识别,0.05,0.34,0.80
上海,0.71,0.01,0.47
北京,0.46,0.14,0.17
考试,0.63,0.73,0.34
课程,0.35,0.13,0.62
可测,0.59,0.09,0.01
科创,0.00,0.13,0.66
客车,0.00,0.56,0.56
Digital,0.40,0.48,0.82
Speech,0.72,0.19,0.62
Voice,0.52,0.32,0.82
Shanghai,0.03,0.42,0.30
Beijing,0.02,0.04,0.35
China,0.26,0.63,0.86
Course,0.30,0.07,0.36
Test,0.80,0.13,0.56
Coding,0.10,0.58,0.64
Code,0.59,0.16,0.68
