,数字,语音,识别,上海,北京,考试,课程,可测,科创,客车,Digital,Speech,Voice,Shanghai,Beijing,China,Course,Test,Coding,Code
数字,39,0,0,88,0,6,3,62,0,0,8,2,1,0,0,2,0,20,0,9
语音,0,0,0,11,23,0,3,3,0,0,77,85,14,1,1,0,0,22,0,0
识别,13,0,12,82,0,6,2,19,0,0,29,23,7,9,1,7,0,24,0,6
上海,0,0,0,170,0,10,0,1,0,0,4,1,0,0,0,0,0,49,0,5
北京,0,0,0,32,111,8,0,22,0,0,1,61,2,0,0,0,0,2,0,1
考试,0,0,0,54,3,152,1,11,0,0,0,4,0,0,0,1,0,0,0,14
课程,0,0,0,87,0,3,83,13,0,0,1,6,17,0,0,1,2,17,1,9
可测,0,0,0,49,1,0,21,141,0,0,2,8,2,0,0,0,0,15,0,1
科创,0,0,0,78,0,0,113,26,1,0,11,0,0,3,0,1,1,1,0,5
客车,0,0,0,95,0,1,73,57,0,0,3,2,6,1,0,1,0,0,0,1
Digital,0,0,0,13,0,5,3,10,0,0,95,32,14,2,0,2,0,42,0,22
Speech,0,0,0,29,2,9,0,2,0,0,1,174,6,0,0,0,0,17,0,0
Voice,0,0,0,19,0,0,2,1,0,0,0,6,125,0,0,0,9,37,2,39
Shanghai,0,0,0,194,0,2,0,13,0,0,1,12,0,8,0,1,0,9,0,0
Beijing,1,0,0,14,34,3,8,46,0,0,3,103,2,3,4,0,0,19,0,0
China,0,0,0,96,0,1,3,2,0,0,0,0,0,1,0,63,1,68,0,5
Course,0,0,0,2,0,0,5,1,0,0,0,13,34,0,0,0,71,78,1,35
Test,0,0,0,6,0,3,0,0,0,0,2,10,0,0,0,0,3,191,0,25
Coding,0,0,0,59,1,1,2,1,0,0,0,13,1,0,0,15,33,15,23,76
Code,0,0,0,14,0,0,0,5,0,0,0,0,0,0,0,0,2,77,0,142
